,0
0,234930
1,236572
2,215220
3,221412
4,240367
5,215223
6,232051
7,215226
8,215227
9,215228
10,217751
11,237446
12,243068
13,215232
14,243661
15,215234
16,169847
17,215235
18,225245
19,225248
20,225246
21,236778
22,244510
23,235648
24,215243
25,222552
26,228314
27,219869
28,225249
29,225247
30,222549
31,233149
32,222547
33,241867
34,227450
35,240536
36,116532
37,192437
38,215218
39,160319
40,125591
41,219870
42,160320
43,192451
44,177458
45,109337
46,164369
47,177633
48,138061
49,106246
50,125593
51,100360
52,169848
53,162779
54,140184
55,174820
56,192467
57,109329
58,114100
59,192453
60,162738
61,163045
62,192441
63,215237
64,163853
65,173225
66,203455
67,192442
68,202436
69,182169
70,192448
71,221410
72,196211
73,225252
74,244511
75,235489
