id,user_type_id/id,reconcile,nocreate,code,name
megis-oe.a_root,megis-oe.user_type_view_depcrecated,False,False,0,GOOIMEER  STANDAARD GROOTBOEKSCHEMA
megis-oe.a_0,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 0,"VASTE ACTIVA, EIGEN VERMOGEN, LANGLOPEND VREEMD VERMOGEN EN VOORZIENINGEN"
megis-oe.a_1,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 1,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN"
megis-oe.a_2,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 2,TUSSENREKENINGEN
megis-oe.a_3,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 3,ONDERHANDEN WERK
megis-oe.a_4,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 4,KOSTENREKENINGEN
megis-oe.a_5,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 5,INDIRECTE KOSTEN
megis-oe.a_6,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 6,FABRIKAGEREKENINGEN
megis-oe.a_7,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 7,KOSTEN VAN DE OMZET
megis-oe.a_8,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 8,VERKOOPRESULTATEN
megis-oe.a_9,megis-oe.user_type_view_depcrecated,False,False,RUBRIEK 9,OVERIGE RESULTATEN
megis-oe.a_00,megis-oe.user_type_view_depcrecated,False,False,0,IMMATERIELE ACTIVA
megis-oe.a_0010,account.data_account_type_current_assets,False,False,10,Aanschafwaarde Goodwill
megis-oe.a_0011,account.data_account_type_current_assets,False,False,11,Afschrijving Goodwill
megis-oe.a_01,megis-oe.user_type_view_depcrecated,False,False,1,ONROERENDE GOEDEREN
megis-oe.a_0100,account.data_account_type_current_assets,False,False,100,Aanschafwaarde Verbouwingen
megis-oe.a_0101,account.data_account_type_current_assets,False,False,101,Afschrijving Verbouwingen
megis-oe.a_02,megis-oe.user_type_view_depcrecated,False,False,2,COMPUTER HARD-/SOFTWARE & INVENTARIS
megis-oe.a_020,megis-oe.user_type_view_depcrecated,False,False,20,SOFTWARE
megis-oe.a_0200,account.data_account_type_current_assets,False,False,200,Aanschafwaarde Software
megis-oe.a_0201,account.data_account_type_current_assets,False,False,201,Afschrijving Software
megis-oe.a_023,megis-oe.user_type_view_depcrecated,False,False,23,HARDWARE
megis-oe.a_0230,account.data_account_type_current_assets,False,False,230,Aanschafwaarde Hardware
megis-oe.a_0231,account.data_account_type_current_assets,False,False,231,Afschrijving Hardware
