"id","code","info","notprintable","parent_id/id","sequence","sign","name"
"megis-oe.btw_code_chart_root",,,"False",,"1","1.0","Nederlands BTW Plan"
"megis-oe.btw_totaal","B",,"False","megis-oe.btw_code_chart_root","5","1.0","Gegevens omzetbelasting (BTW)"
"megis-oe.omz_totaal","A",,"False","megis-oe.btw_code_chart_root","1","1.0","Gegevens omzetbedragen"
"megis-oe.btw_code_binnenland","1",,"False","megis-oe.btw_totaal","10","1.0","Leveringen en/of diensten binnenland (BTW)"
"megis-oe.omz_code_binnenland","1",,"False","megis-oe.omz_totaal","10","1.0","Leveringen en/of diensten binnenland (omzet)"
"megis-oe.btw_code_1a","1a",,"False","megis-oe.btw_code_binnenland","11","1.0","Leveringen/diensten belast met 21% (BTW)"
"megis-oe.omz_code_1a","1a",,"False","megis-oe.omz_code_binnenland","11","1.0","Leveringen/diensten belast met 21% (omzet)"
"megis-oe.btw_code_1b","1b",,"False","megis-oe.btw_code_binnenland","12","1.0","Leveringen/diensten belast met 6% (BTW)"
"megis-oe.omz_code_1b","1b",,"False","megis-oe.omz_code_binnenland","12","1.0","Leveringen/diensten belast met 6% (omzet)"
"megis-oe.btw_code_1c","1c",,"False","megis-oe.btw_code_binnenland","13","1.0","Leveringen/diensten belast met overige tarieven behalve 0% (BTW)"
"megis-oe.omz_code_1c","1c",,"False","megis-oe.omz_code_binnenland","13","1.0","Leveringen/diensten belast met overige tarieven behalve 0% (omze"
"megis-oe.btw_code_1d","1d",,"False","megis-oe.btw_code_binnenland","14","1.0","Prive-gebruik (BTW)"
"megis-oe.omz_code_1d","1d",,"False","megis-oe.omz_code_binnenland","14","1.0","Prive-gebruik (omzet)"
"megis-oe.btw_code_1e","1e",,"False","megis-oe.btw_code_binnenland","15","1.0","Leveringen/diensten belast met 0% of niet bij u belast (BTW)"
"megis-oe.omz_code_1e","1e",,"False","megis-oe.omz_code_binnenland","15","1.0","Leveringen/diensten belast met 0% of niet bij u belast (omzet)"
"megis-oe.btw_code_verlegging","2",,"False","megis-oe.btw_totaal","20","1.0","Verleggingsregelingen: BTW naar u verlegd (BTW)"
"megis-oe.omz_code_verlegging","2",,"False","megis-oe.omz_totaal","20","1.0","Verleggingsregelingen: BTW naar u verlegd (omzet)"
"megis-oe.btw_code_2a","2a",,"False","megis-oe.btw_code_verlegging","21","1.0","Heffing van omzetbelasting is naar u verlegd (BTW)"
"megis-oe.omz_code_2a","2a",,"False","megis-oe.omz_code_verlegging","21","1.0","Heffing van omzetbelasting is naar u verlegd (omzet)"
"megis-oe.omz_code_naar_buitenland","3",,"False","megis-oe.omz_totaal","30","1.0","Leveringen naar het buitenland (omzet)"
"megis-oe.omz_code_3a","3a",,"False","megis-oe.omz_code_naar_buitenland","31","1.0","Leveringen naar landen buiten de EU (uitvoer) (omzet)"
"megis-oe.omz_code_3b","3b",,"False","megis-oe.omz_code_naar_buitenland","32","1.0","Leveringen naar landen binnen de EU (omzet)"
"megis-oe.omz_code_3c","3c",,"False","megis-oe.omz_code_naar_buitenland","33","1.0","Installatie/afstandsverkopen binnen de EU (omzet)"
"megis-oe.btw_code_vanuit_buitenland","4",,"False","megis-oe.btw_totaal","40","1.0","Leveringen vanuit het buitenland (BTW)"
"megis-oe.omz_code_vanuit_buitenland","4",,"False","megis-oe.omz_totaal","40","1.0","Leveringen vanuit het buitenland (omzet)"
"megis-oe.btw_code_4a","4a",,"False","megis-oe.btw_code_vanuit_buitenland","41","-1.0","Leveringen uit landen buiten de EU (invoer) (BTW)"
"megis-oe.omz_code_4a","4a",,"False","megis-oe.omz_code_vanuit_buitenland","41","1.0","Leveringen uit landen buiten de EU (invoer) (omzet)"
"megis-oe.btw_code_4b","4b",,"False","megis-oe.btw_code_vanuit_buitenland","42","-1.0","Verwerving van goederen uit landen binnen de EU (BTW)"
"megis-oe.omz_code_4b","4b",,"False","megis-oe.omz_code_vanuit_buitenland","42","1.0","Verwerving van goederen uit landen binnen de EU (omzet)"
"megis-oe.btw_code_voorbelasting","5",,"False","megis-oe.btw_totaal","50","1.0","Voorbelasting, kleineondernemersregeling, schatting en eindtotaa"
"megis-oe.btw_code_5a","5a",,"False","megis-oe.btw_code_voorbelasting","51","1.0","Verschuldigde omzetbelasting (rubrieken 1a t/m 4b) (BTW)"
"megis-oe.btw_code_5b","5b",,"False","megis-oe.btw_code_voorbelasting","52","-1.0","Voorbelasting (BTW)"
"megis-oe.btw_code_5c","5c",,"False","megis-oe.btw_code_voorbelasting","53","1.0","Subtotaal (rubriek 5a min 5b) (BTW)"
"megis-oe.btw_code_5d","5d",,"False","megis-oe.btw_code_voorbelasting","54","1.0","Vermindering volgens de kleineondernemersregeling (BTW)"
"megis-oe.btw_code_5e","5e",,"False","megis-oe.btw_code_voorbelasting","55","1.0","Schatting vorige aangifte(n) (BTW)"
"megis-oe.btw_code_5f","5f",,"False","megis-oe.btw_code_voorbelasting","56","1.0","Schatting deze aangifte (BTW)"
"megis-oe.btw_code_5g","5g",,"False","megis-oe.btw_code_voorbelasting","57","1.0","Totaal te betalen/terug te vragen (BTW)"
